mt,src,score
"możemy cofnąć się i zmienić nasz związek, ponownie wizja naszego stosunku do ludzi z przeszłości i wydarzeń, ścieżki neuronowe mogą się zmienić.",we can go back and alter our relationship re vision our relationship to past people and events neural pathways can change.,4.083333333
Miniony maj był najcieplejszym na świecie.,The past May was the warmest in the world.,4.333333333
"Przez jakiś czas też mieliśmy ten problem i powiedzieliśmy, że naprawdę potrzebujemy nowej koncepcji.",And we had this problem too for a while and we said Oh we really need a new concept.,4.083333333
"Wszyscy jesteście teraz inteligentni, ale nic nie robicie.",You are all being intelligent right now but you are not doing anything.,4.666666667
"A ujemna alfa to nachylenie tej prostej, którą wam wcześniej pokazałem.",And the negative alpha is the slope of the line I showed you earlier.,4.5
Kobieta Nigeria.,Nigerian woman.,4.833333333
I o to właśnie chodzi.,That's what I'm talking about.,5
I właśnie w zeszłym roku przyjęliśmy grupę nastolatków i to zadziałało najlepiej.,And just last year we adopted a group of teenagers and it worked best.,4.416666667
A wszystko to z powodu kumulatywnej adaptacji kulturowej.,And all this because of the cumulative cultural adaptation.,4.083333333
"Ten ważny wysiłek musi obejmować skupienie się na tym, czego uczą się płody w ciągu dziewięciu miesięcy spędzonych w łonie matki.",That important effort must include a focus on what fetuses learn during the nine months they spend in the womb.,4.5
"Jeśli otrzymasz coś interesującego, to właśnie SETI robi to, co SETI robi od wielu lat.",If you receive something interesting well that is what SETI does actually what SETI has been doing for many years.,4.333333333
"Sto lat temu z pewnością prawdą jest, że aby jeździć samochodem, trzeba było dużo wiedzieć o mechanice samochodu, o tym, jak działał czas zapłonu i wiele innych rzeczy.","A hundred years ago it was certainly true that to drive, you had to know a lot about car mechanics, how the ignition time worked and many other things.",4.083333333
"Więc fajną rzeczą w Duolingo jest to, że myślę, że zapewnia uczciwy model biznesowy, który nie dyskryminuje biednych ludzi.",So the nice thing about Duolingo is I think it provides a fair business model one that doesn not discriminate against poor people.,4.5
Sfotografowałem go na miejscu zbrodni nad Snake River w Idaho.,I photographed him at the scene of the crime at the Snake River in Idaho.,4.916666667
"Informacje rozprzestrzeniają się w populacjach, normy mogą rozprzestrzeniać się w populacjach, zachowania mogą się rozprzestrzeniać w populacjach.","Information spreads in populations, standards can spread in populations, behavior can spread in populations.",5
A ja miałem swój w kieszeni.,And I had mine on my pocket.,4.833333333
"Zresztą rzuć ten mały klip, który ci pokażę.",And anyway roll this little clip I will just show you.,4.333333333
"Trzeba powiedzieć, że Sam jadł, a nie Sam jadł pizzę.","You have to say Sam ate, not Sam ate pizza.",3.916666667
Jaki jest w tym sens.,What's the point of that?,4.666666667
"Może to być pizza rodzinna, może to być pizza o bardzo indywidualnym rozmiarze.","It could be family pizza, it could be very individual pizza.",4.083333333
"Spodziewali się, że będą to młode rodziny lub młodzi mężczyźni, tak jak zawsze.",And they expected that it would be young families or young men just like it had always been.,4.5
"I wiesz, że Amerykanie nie czytają o tym facecie.",And you know Americans don't read about this guy.,5
"Zdecydowaliśmy, że musimy postawić nasze pieniądze tam, gdzie są nasze usta.",We decided that we needed to put our money where our mouth is.,3.666666667
"Przesyłamy tylko kilka małych bitów danych, gdy kontrolujemy opłaty drogowe.",We only send a few small bits of data when we control tolls.,3.916666667
Dlatego chcą zaistnieć jako potęga przemysłowa w różnych branżach z dala od ropy naftowej.,So they want to emerge as an industrial powerhouse across the industries away from oil.,4.666666667
"Gdybyśmy nazwali Valedictorian białym rycerzem paladynem na poziomie 20, myślę, że ludzie prawdopodobnie pracowaliby dużo ciężej.",If we called valedictorian a white knight paladin level 20 I think people would probably work a lot harder.,4.25
Zobaczymy.,We'll see.,5
"Herman Miller wyznaje tę filozofię, że miejsce jest miejscem dla ludzi.",And Herman Miller has this philosophy of having a place a people place.,4.166666667
"PM Jeśli możesz to przekazać, kiedy skończysz. Tak myślę, że straciłem trochę orientacji. Spojrzałem w górę, w to światło.",PM If you can pass it down when you are done Yeah I think I lost a little orientation I looked up into this light.,3.916666667
"Po lewej stronie zobaczysz przetworzone wideo, w którym kamera uczyniła go niewidzialnym.",And on the left side you will see the processed video where the camera has made him invisible.,4.666666667
Czy Amazon to nosi.,Does Amazon carry it.,4.166666667
Ma bardzo awangardową kuchnię.,He's got a very avant-garde kitchen.,4.583333333
Urodziliśmy się w pudełku czasu i przestrzeni.,We were born in a box of time and space.,4.166666667
"Jednak jest więcej, aby wiedzieć o swojej gwieździe rodzicielskiej, niż tylko o tym, ile światła w ogóle otrzymujesz.",But there's more to know about your parenting star than just how much light you get at all.,3.583333333
"Jednym z nich jest opracowanie nowej sztucznej ekologii rafy w porcie, która chroniłaby wówczas nowe wzorce osadnictwa w głębi lądu i Gowanus.","One of them is the development of a new artificial reef ecology in the port, which would then protect new settlement patterns in inland and Gowanus.",4.166666667
Używamy biologicznego wzmacniacza do wzmacniania tych sygnałów nerwowych mięśni.,We are using a biological amplifier to amplify these nerve signals muscles.,4.333333333
"Oczekuje się, że będziesz pisać pouczające, przejmujące i charakterystyczne historie, a eksperymentalną i awangardę pozostawić swoim zachodnim kolegom.",You are expected to write informative poignant and characteristic stories and leave the experimental and avant garde to your Western colleagues.,3.75
Możesz więc zachować ciemność i stworzyć światło.,So you can keep the darkness and create the light.,4.583333333
Więc znowu jednym z wielkich rozwiązań jest przeniesienie przez Światową Organizację Handlu dotacji na zrównoważone praktyki.,So again one of the big solutions is have the World Trade Organization shifting the subsidies to sustainable practices.,4.083333333
Wszyscy chłopcy i dziewczęta przyłapani na flirtowaniu natychmiast wyszliby za mąż.,All the boys and girls caught flirting would get married immediately.,4.583333333
"Pluton egzekucyjny wycelował, a generał nie żył.",The firing squad aimed fired the general was dead.,4.25
"To było wszystko, co mogłem zrobić, aby trzymać się tego niesamowitego stworzenia.",It was all I could do to hold onto this amazing creature.,4.333333333
To rozmowa o potencjale.,It is a conversation about potential.,4.666666667
To około ośmiu procent całkowitej globalnej produkcji rolnej.,That's about eight percent of total global agricultural production.,4.5
"Moim zdaniem byłem rycerzem, który próbował pomóc nauce iść naprzód.",In my mind I was actually a knight trying to help science move along.,3.916666667
"Więc tak się stało, kiedy PNAS to opublikował.",So this is what happened when PNAS published this.,4.5
Byłem w gabinecie lekarskim ostatni skan CAT i był tam Reader is Digest październik 2002.,I was in the doctor's office last CAT scan and there was Reader is Digest October 2002.,3.416666667
"Czy uwierzysz, że 12 stron na pojedynczym miejscu, które pacjent musi przeczytać przed przystąpieniem do naszego badania, ma na celu wyleczenie z epilepsji.","Will you believe that 12 pages on a single site, which the patient must read before we begin our study, is intended to cure epilepsy.",3.666666667
"Teraz to, co umieścisz między tymi instrumentami a tymi rękami, to duży, dość skomplikowany robot.","Now what you're going to put between these instruments and these hands is a big, quite complicated robot.",4.583333333
Następnego dnia cieszyłem się drżeniem.,The next day I rejoiced in trembling.,3.916666667
"Co jest również interesujące, jeśli spojrzysz na produkty, które mają wysoki składnik tego, co możesz nazwać wartością komunikacyjną, wysoki składnik wartości niematerialnej w porównaniu z ich wartością wewnętrzną. Często są one dość egalitarne.",What is also interesting if you look at products that have a high component of what you might call messaging value a high component of intangible value versus their intrinsic value They are often quite egalitarian.,4.166666667
"Wiesz, że to będzie zmienne.",You know it is going to be variable.,4.5
"I myślę, że tego teraz świat potrzebuje. Dziękuję.",And that is what I think the world needs now Thank you.,4.833333333
"Więc to naprawdę uświadamia ci ciężar spoczywający na rodzicach, aby przyjrzeć się temu i uregulować to, nadzorować to w ich własnym życiu i jakie to zdumiewające.","So it really makes you realize the burden on your parents to look at it and regulate it, to supervise it in their own lives, and how amazing it is.",3.833333333
"Myślę, że dzięki temu moje operacje będą miały lepszy wynik i mniej powikłań.",I think it's gonna make my surgeries better and less complicated.,4.583333333
"Myślę, że te zasoby są niezwykle cenne.",I think these resources are incredibly valuable.,4.5
I wszystkie pasują do siebie.,And they all fit together.,4.25
"A to, co niewidzialne, musisz przyznać, nie przychodzi do nas zmysłami.",And the unseen you have to admit doesn not come to us through the senses.,4.25
Krótkie nie włączają maszyny.,Short ones don't turn on the machine.,3.833333333
"Innymi słowy, kiedy zobaczyliśmy to zdjęcie 10 września, wiedzieliśmy, że maszyna działa, co jest wielkim triumfem.","In other words, when we saw this picture on September 10, we knew that the machine was working, which is a great triumph.",4.25
"Moim studentom w moim laboratorium i ja kupujemy Barbie z Goodwill i Value Village, ubieramy ją w ubrania uszyte przez szwaczki i wysyłamy z książeczką do baldachimów.","My students in my lab and I buy Barbie from Goodwill and Value Village, dress her in clothes made by seamstresses, and send her with a book to the canopy.",3.166666667
"Jest to gra, w którą grasz z innymi ludźmi.",And it is a game you play with other people.,4.75
Granice między terytorium bośniackim a terytorium bośniackich Serbów uległy uspokojeniu.,The borders between Bosnian territory and Bosnian Serb territory have been calmed down.,4.333333333
Wskakujemy w ramiona Big Placebo.,We're jumping into Big Placebo's arms.,4.5
"Najlepiej, jeśli uda się wielu osobom, ponieważ wtedy możesz użyć kombinacji tych rzeczy.","It's best if a lot of people succeed, because then you can use a combination of these things.",4.25
"A potem miasto Amsterdam dało nam plac i poprosiło nas, żebyśmy coś zrobili.",And then the city of Amsterdam gave us a plaza and asked us to do something.,3.833333333
"I za każdym razem, gdy się odwracają, są jakieś szkody, które narastają.","And every time they turn around, there's some damage that's getting worse.",4.166666667
"Wysadziłem go do rzeczywistego rozmiaru i zacząłem używać tego wraz z wszystkimi innymi odniesieniami, które miałem, porównując go z nim, jako odniesienie do rozmiaru, aby dokładnie określić, jak duży powinien być dziób, jak długi itp.","I blew it up to its real size and started using it along with all the other references I had, comparing it with it, as a reference to its size, to determine exactly how big a beak should be, how long, etc.",4
A po włosku ghironda w porządku.,"And in Italian, the ghironda is fine.",4.166666667
"Dlatego zespół opracował nowe oprogramowanie do debugowania, w którym moglibyśmy przetestować każdy syntetyczny fragment, aby sprawdzić, czy będzie rosnąć na tle dzikiego DNA.",So the team developed new debugging software where we could test each synthetic fragment to see if it would grow in a background of wild type DNA.,4
"Niektórzy ludzie oglądają to wydarzenie z powodu fascynacji NASCAR-em, uderzającymi i zgrzytającymi rzeczami. Spalanie spadochronu spadającego w ostatni weekend.","Some people are watching this event because of NASCAR's fascination with striking and reeling things, burning the parachute falling last weekend.",3.833333333
Bogactwo 13 bilionów dolarów wyparowało w ciągu ostatnich dwóch lat.,Thirteen trillion dollars in wealth has evaporated over the course of the last two years.,4.583333333
Wrzucają do oceanu ogromne ilości zanieczyszczeń.,They pour huge amounts of pollutants into the ocean.,4.833333333
"Ponieważ prawda jest taka, że ​​każda praca, którą wykonujesz, która wymaga interakcji z innymi ludźmi, jest pracą moralną.",Because the truth is that any work that you do that involves interaction with other people is moral work.,4.5
"A więc doprowadziło to do płytkiej ścieżki w polityce, ale także w całym szeregu ludzkich przedsięwzięć.",And so this has led to a shallow path in politics but also in a whole range of human endeavors.,4.5
"Czy możesz sobie wyobrazić potencjalne zastosowania potomne, wykrywanie zanieczyszczeń w glebie, aplikacje celne, wykrywanie nielegalnych towarów w kontenerach i tak dalej.",Can you imagine the potential offspring applications environmental detection of pollutants in soils customs applications detection of illicit goods in containers and so on.,4.333333333
"Widzimy historie, w których obecnie bierze udział Bill Clinton.",We're seeing stories that Bill Clinton is currently involved in.,4.666666667
"I ten przełącznik jest wciśnięty w ich głowach, kiedy przechodzą przez te 18 stóp tego dziwacznego sklepu w prawo.",And this switch is stuck in their heads when they go through those 18 feet of this freak store to the right.,3.833333333
"Są teraz online ludzie, którzy są przyjaciółmi, których nigdy nie spotkali.",There are now online people who are friends they've never met.,3.666666667
To jest nasza motywacja.,This is our motivation.,4.833333333
Wysadzenie tego proszku w nos przypomina raczej wystrzelenie z lufy karabinu wyłożonej barokowymi obrazami i lądowanie na morzu elektryczności.,Blowing that powder in the nose is more like firing a baroque gun from a barrel and landing at sea electricity.,3.833333333
"Einstein przewidział, że w miarę jak stajemy się coraz bardziej nowocześni i zaawansowani technologicznie, potrzebujemy więcej, a nie mniej cnót, które nasze tradycje przenoszą w czasie.","Einstein predicted that as we become more modern and technologically advanced, we need more than less virtues that our traditions carry in time.",4.25
"Japonia była pierwszym niezachodnim społeczeństwem, które go przyjęło.",Japan was the first non-western society to adopt it.,4.583333333
"Jest wiele rzeczy, które mogę powiedzieć, że możemy zwiększyć przychody lub innowacje medyczne sprawią, że wydatki będą jeszcze wyższe.",There are many things I can say that we can increase revenue or medical innovation will make spending even higher.,4
W rzeczywistości wyolbrzymia ich odrębność reprezentacji w wielowymiarowych neuronalnych terminach reprezentacji.,It actually exaggerates their separateness of representation in multi dimensional neuronal representational terms.,3.5
"Co ciekawe, w ciągu ostatnich 10 lat Norman Foster wraz z inżynierem konstrukcyjnym Chrisem Williamsem użył podobnego modelu wymiany ciepła do wygenerowania dachu Galerii Narodowej.",Interestingly in the last 10 years Norman Foster used a similar heat thermal transfer model to generate the roof of the National Gallery with the structural engineer Chris Williams.,4.5
"Wiem o tym, bo ludzie podchodzą do mnie jak koledzy i mówią, Chris, że masz dziwną karierę.","I know that because people come up to me like they're friends and say, Chris, you have a weird career.",4.083333333
Czuję się dla ciebie niewidzialny.,I feel invisible to you.,4.75
"Nie powiedzieli nam, że niektóre węglowodany są lepsze od innych oraz że rośliny i produkty pełnoziarniste powinny zastępować niezdrowe jedzenie.",They did not tell us that some carbohydrates are better than others and that plants and whole grain products should replace unhealthy food.,4.5
"I to sprawiło, że pomyślałem, że być może agencje darczyńców właśnie przegapiły kluczowy aspekt marketingowego zrozumienia, kto jest odbiorcą.",And this made me think that perhaps the donor agencies had just missed out on a key aspect of marketing understanding who is the audience.,3.916666667
"W istocie jesteśmy po prostu wyprostowaną, chodzącą, super inteligentną małpą o dużym mózgu.","In fact, we're just a straight, walking, super-intelligent monkey with a big brain.",4.083333333
"To jest krótki film pokazujący, jak wykonaliśmy ten projekt.",This is a short video of how we did this project.,4.666666667
Trudno jest po prostu dostać się automatycznie.,They are hard to just get automatically.,4.25
"Pomyślałem więc, że pożyteczne może być przypomnienie nam o niektórych rzeczach, które tu się wydarzyły, a następnie może zaproponowanie kilku pomysłów, które możemy zabrać, rozwinąć i nad nimi popracować.",So I thought that what may be useful is to remind us of some of the things that have gone on here and then maybe offer some ideas which we can take away and take forward and work on.,4
Dobrze.,Good.,4.833333333
"Te wibracje, te bakterie mogą w rzeczywistości zarażać ludzi.",These vibrios these bacteria can actually infect people.,4.583333333
Uśmiech Uśmiech Otwórz usta.,Smile Smile Open the mouths.,4.416666667
Golimy to i mam mały obiektyw grawitacyjny OK.,We shave it off and I have a little gravitational lens OK.,3.916666667
"Więc niebiosa Co miałem zrobić, nie potrzebowałem już patyków, nie pozwolono mi ich mieć.",So heavens What was I to do I no longer required the sticks I wasn not allowed to have these sticks.,3.916666667
"Teraz, aby wyraźnie zobaczyć uprzedzenia, musisz zrozumieć, czym jest introwersja.","Now, to clearly see prejudice, you need to understand what introversion is.",4.5
Kształtują nasze pragnienia.,They are shaping our very desires.,4.916666667
"Tak naprawdę nie widać tego na tej mapie, ale jest to mapa, która staje się głównym tematem w drugiej połowie mojej książki.","You can't really see it on this map, but it's a map that becomes the main topic in the second half of my book.",4.5
"W krajach rozwijających się powiedziała, że ​​mają dwa miliardy ludzi.",In the developing world she said they had two billion people.,4.583333333
"Uwielbiam ten pomysł, który pochodzi z kluczy trzeciego poziomu wioski, aby odblokować ten magazyn.",I love this idea that comes from the third level of the village keys to unlock this warehouse.,3.833333333
"Masz również muchy wielkości much, które są robione przez Roberta Wooda na Harvardzie.",You have also got flies the size of flies that are being made by Robert Wood at Harvard.,4.666666667
"To ostatnia rzecz, jaką zrobiła podczas ostatniego aktu fizycznego.",It is the last thing she did the last physical act.,3.666666667
"Kiedy ludzie robią zdjęcia tym budynkom z tego kontekstu, wyglądają naprawdę dziwnie i zakładam, że mają one dużo więcej sensu, gdy są fotografowane lub widziane w tej przestrzeni.",When people take pictures of these buildings out of that context they look really weird and my premise is that they make a lot more sense when they are photographed or seen in that space.,4.166666667
"Idę, jeśli mogę mieć tutaj mój pierwszy slajd, a zobaczysz tytuł mojego wystąpienia i moje dwie afiliacje.",I am going to if I can have my first slide up here and you will see the title of my talk and my two affiliations.,4
"Z drugiej strony istnieje dalsza możliwość, że wielu Amerykanów ogarniętych gorączką wojny powie, poczuje i pomyśli, że islam jest w jakiś sposób wrogiem, że islam powinien być rozumiany jako wróg.",On the other hand there is a further possibility that many Americans swept up in the fever of a war will say and feel and think that Islam is the enemy somehow that Islam ought to be construed as the enemy.,4.75
"OK, po prostu stań przed sceną.",OK just stand stage forward.,4.166666667
"W tym miejscu chciałbym również podkreślić, że z największym szacunkiem dla ludzi, który teraz pokażę, pokażę wam kilka przypadków wirtualnych sekcji zwłok, więc z wielkim szacunkiem dla osób, które zginęły pod brutalnych okolicznościach, w których pokazuję wam te zdjęcia.","At this point I would also like to stress that with the utmost respect for the people I'm about to show you a few cases of virtual autopsies, so with great respect for the people who died under the brutal circumstances in which I show you these photos.",4.083333333
"Wynoś się z tego, wyciągnij to.",Get out of it get it out.,4.083333333
"nothe world ”jest obiektywną, logiczną, uniwersalną faktograficzną nauką.","nothe world is an objective, logical, universal factual science.",3.833333333
"Jeśli spojrzę na własne życie, urodziłem się w 1962 roku w Austrii.","If I look at my own life, I was born in 1962 in Austria.",4.833333333
Chcę zakończyć.,I want to conclude.,3.166666667
"Potem spędzają trochę czasu na planowaniu, organizowaniu szkiców i układaniu spaghetti.","Then they spend some time planning, organizing sketches and plotting spaghetti.",4.25
"Pozwólcie, że przejdę do następnego krótkiego filmu.",So let me go on the next short video.,4.5
"Założę się, że nie wiedziałeś, że do zrobienia kufla piwa potrzeba około 5 litrów wody.",I bet you didn't know you needed about 5 liters of water to make a pint of beer.,4.5
Są super wydajne. Mieliśmy bardzo niski budżet.,We had a very low budget.,4.5
"Ponieważ jest to dla wygody dziecka, nie dla wygody nauczyciela.","Because it's for the comfort of a child, not for the comfort of a teacher.",4.666666667
"DJ To było niesamowite, bo widać, że ten lew robi dokładnie to, co ma na imię. Skupia się na tej hienie i zamierza to dostać.",DJ It was amazing because you can see that this lion is doing exactly what his name He is focused on this hyena and he is going to get it.,4.083333333
"Powiedziałem wam, że to nie jest zwykły biznes.",I told you this isn't just any business.,4.333333333
Ale jesteśmy szaleni. Robimy takie rzeczy.,But we are crazy We do these things.,4.416666667
"Przy odrobinie planowania moglibyśmy przekształcić przestrzeń zdominowaną przez ruch uliczny w taką, która zapewnia otwartą przestrzeń dla ludzi, ponownie łączy ludzi z jedzeniem i przekształca odpady w zamknięte możliwości.",And with just a little bit of planning we could transform a space dominated by traffic into one that provides open space for people reconnects people with food and transforms waste into closed loop opportunities.,4.166666667
Jamie Oliver Let to porozmawiać.,Jamie Oliver Let to talk to.,3.083333333
To jest wtedy odpowiednik Wielkiego Wybuchu dla ludzkiego rozwoju w bezpiecznej przestrzeni operacyjnej granic planetarnych.,Now this is the Big Bang equivalent then of human development within the safe operating space of the planetary boundaries.,4
Przyjrzyj się osiągnięciom matematycznym 15-latków.,Take a look at the math achievements of 15-year-olds.,4.416666667
"Jeśli coś nie jest idealne, jeśli nie pasuje do tego z premedytacją modelu śmietnika.",If something isn not perfect if it doesn not line up with that premeditated model dumpster.,4.083333333
"Zamiast tego powiedziała: nie, nie, praca i wypoczynek mogą być razem.","Instead, she said no, no, work and rest can be together.",4.333333333
"Swoją drogą, dobrze mnie usłyszałeś, jego nazwisko to Hacker.",By the way you did hear me correctly his last name is Hacker.,4.5
"Jest dużo więcej do zrobienia, aby przetestować te teorie i inne.",There's a lot more to do to test these theories and stuff.,4.333333333
Przede wszystkim jestem maniakiem.,"First of all, I'm a maniac.",4.666666667
Wchodzimy w interakcję z naszą rozrywką.,We are interacting with our entertainment.,4.833333333
"Myślę, że naszym wrogiem była fizyka, a ona jest okrutną kochanką.",I think our enemy was physics and she is a cruel mistress.,4.416666667
"To samochód z napędem rakietowym zbudowany w domu. To Henry JI z 1953 r., Jestem maniakiem autentyczności w cichej okolicy w Toledo.","It's a rocket-powered car built at home. It's Henry JI from 1953, I'm a authenticity maniac in a quiet neighborhood in Toledo.",4.25
"W każdym razie nikt by ich nie śledził, z wyjątkiem garstki mężczyzn i kobiet z przekonaniem i odwagą.",Anyhow nobody would have followed them except for a handful of men and women of conviction and courage.,4.583333333
"Ludzie uważają to za dziwne, ale myślę, że było to dla nas wielkie błogosławieństwo.",People find that strange but I think it was a great blessing for us.,4.583333333
Chciałbym podzielić się jedną krótką winietą.,And I would like to share one short vignette.,4.666666667
"Jeśli jest eliptyczny, możesz zrobić soczewkę astygmatyczną.",If it is elliptical you can make an astigmatic lens.,4.25
Chris Anderson Pytanie do ciebie Kwabena.,Chris Anderson Question for you Kwaben.,4.333333333
"Uważa się, że nauka może pomóc nam uzyskać to, co cenimy, ale nigdy nie może nam powiedzieć, co powinniśmy cenić.","Science is believed to help us get what we value, but it can never tell us what we should value.",4.833333333
"Cóż, wszyscy znamy dziesiątki rodzajów tykających bomb zegarowych we współczesnym świecie bomby zegarowe, które mają zapalniki kilkudziesięciu lat od nich wszystkich nie dłuższe niż 50 lat, a każdy z nich może nas zrobić w bombach zegarowych z wodą. gleb gatunków inwazyjnych zmiany klimatu sufity fotosyntetyczne problemy z populacjami toksyny itp. wymienienie około 12 z nich I chociaż te bomby zegarowe żadna z nich nie ma bezpiecznika dłuższego niż 50 lat, a większość z nich ma bezpieczniki kilkudziesięcioletnie, niektóre z nich w niektórych miejscach mają znacznie krótsze bezpieczniki W tempie, w jakim teraz jedziemy, Filipiny stracą cały dostępny do wyrębu las w ciągu pięciu lat, a Wyspom Salomona dzieli tylko rok od utraty lasów, które można wyrąbać, co jest ich głównym eksportem. spektakularne dla gospodarki Wysp Salomona Ludzie często pytają mnie, Jared, co jest najważniejszą rzeczą, jaką musimy zrobić ze światem, są problemy środowiskowe.","Well, we all know dozens of ticking time bombs in the contemporary world of time bombs, which have igniters for decades of all of them no longer than 50 years, and each one of them can make us in time bombs with water. soil species invasive climate change photosynthetic ceilings problems with the populations of toxins etc. mentioning about 12 of them and although none of these time bombs have a fuse longer than 50 years, and most of them have fuseheads of dozens of years, some of them in some places have much shorter fuses At the rate at which we are driving now, the Philippines will lose the entire forest available for logging in five years, and Solomon Islands is only one year away from losing the forests that can be cut out, which is their main export.",3.333333333
